My dear countrymen, Namaskar. ||ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ନମସ୍କାର ।
I begin ‘Mann Ki Baat’ today with a heavy heart. ||“ମନ କି ବାତ୍” ଆରମ୍ଭ କରିବା ସମୟରେ ଆଜି ମନ ଦୁଃଖରେ ଭରି ରହିଛି ।
10 days ago, Mother India had to bear the loss of many of her valiant sons. ||10 ଦିନ ପୂର୍ବେ ଭାରତମାତା ନିଜର ବୀର ପୁତ୍ରମାନଙ୍କୁ ହରାଇଛି ।
These brave hearts made the supreme sacrifice in securing the lives of a hundred & twenty five crore Indians. ||ଏହି ପରାକ୍ରମୀ ବୀରମାନେ, ଆମ 125 କୋଟି ଭାରତୀୟମାନଙ୍କ ସୁରକ୍ଷା ପାଇଁ ନିଜର ବଳିଦାନ ଦେଇଛନ୍ତି ।
In order to ensure that their fellow countrymen could sleep peacefully, these brave sons toiled relentlessly, day or night. ||ଦେଶବାସୀ ଶାନ୍ତିରେ ଶୋଇପାରନ୍ତି, ଏଥିପାଇଁ ଆମର ଏହି ବୀର ସୁପୁତ୍ରମାନେ ଦିନ-ରାତି ଏକ କରିଦେଇଥିଲେ ।
As a consequence of the Pulwama terror attack and the sacrifice of the brave jawans, people across the country are agonized and enraged.||ପୁଲୱାମାର ଆତଙ୍କବାଦୀ ଆକ୍ରମଣରେ ବୀର ଯବାନମାନଙ୍କ ବଳିଦାନ ପରେ ସମଗ୍ର ଦେଶର ଲୋକଙ୍କ ମନରେ ଆଘାତ ଏବଂ ଆକ୍ରୋଶ ଭାବ ରହିଛି ।
All around, there is a deluge of strong feelings of sympathy for the martyrs & their family members.||ଶହିଦ ଏବଂ ସେମାନଙ୍କ ପରିବାର ପ୍ରତି ଚତୁର୍ଦିଗରୁ ସମବେଦନାର ସୁଅ ଛୁଟିଛି ।
The outrage that singes your being and mine on account of the terrorizing violence replicates itself in the collective inner psyche’ of every citizen of the country; it also echoes in pro-humanity communities of the world, which sincerely believe in humanity.||ଏହି ଆତଙ୍କବାଦୀ ହିଂସା ବିରୋଧରେ ଯେଉଁ ଆବେଗ ଆପଣଙ୍କ ଏବଂ ମୋ ମନରେ ରହିଛି ସେହି ଭାବନା ପ୍ରତ୍ୟେକ ଦେଶବାସୀଙ୍କ ଅନ୍ତର୍ମନରେ ରହିଛି ଏବଂ ମାନବିକତାରେ ବିଶ୍ୱାସ କରୁଥିବା ବିଶ୍ୱ ସମୁଦାୟର ମାନବତାବାଦୀଙ୍କ ମଧ୍ୟରେ ବି ରହିଛି ।
I respectfully bow to all the brave sons of the country, who laid down their lives, protecting the honour of their motherland, India.||ଭାରତମାତାଙ୍କ ସୁରକ୍ଷା ପାଇଁ ନିଜର ପ୍ରାଣବଳି ଦେଇଥିବା ଦେଶର ସମସ୍ତ ବୀର ସୁପୁତ୍ରମାନଙ୍କୁ ମୁଁ ପ୍ରଣାମ କରୁଛି ।
This martyrdom will keep inspiring us relentlessly to uproot the very base of terrorism; it will fortify our resolve.||ଏହି ବଳିଦାନ ଆତଙ୍କବାଦକୁ ସମୂଳେ ନଷ୍ଟ କରିବା ପାଇଁ ଆମକୁ ଅନବରତ ଭାବେ ପ୍ରେରଣା ଯୋଗାଇବ, ଆମ ସଂକଳ୍ପକୁ ଆହୁରି ସୁଦୃଢ଼ କରିବ ।
We shall have to take up this challenge facing our country, forgetting all barriers of casteism, communalism, regionalism and other difference,||ଦେଶ ସମ୍ମୁଖକୁ ଆସିଥିବା ଏହି ଆହ୍ୱାନର ମୁକାବିଲା ଆମ ସମସ୍ତଙ୍କୁ ଜାତିବାଦ, ସମ୍ପ୍ରଦାୟବାଦ,ଆଂଚଳିକତାବାଦ ଏବଂ ଅନ୍ୟ ସମସ୍ତ ଭେଦଭାବକୁ ଭୁଲି କରିବାକୁ ପଡ଼ିବ ।
our steps against terror are firmer, stronger and more decisive.||ଆତଙ୍କବାଦ ବିରୁଦ୍ଧରେ ଆମର ପଦକ୍ଷେପ ପୂର୍ବ ଅପେକ୍ଷା ଯଥେଷ୍ଟ ଅଧିକ ସୁଦୃଢ଼ ହେଉ, ସଶକ୍ତ ହେଉ ଏବଂ ନିର୍ଣ୍ଣାୟକ ହେଉ ।
