,English, Odia
Controversy,ବିବାଦୀୟ ବ୍ୟକ୍ତିତ୍ବ 
Coaching,ତାଲିମଦାତା
Records,ବିଶ୍ଵ ରେକର୍ଡ 
Personal life,ବ୍ୟକ୍ତିଗତ ଜୀବନ 
Bishan Singh Bedi,ବିଶନ ସିଂ ବେଦି
Sources,ଆଧାର 
External links,ବାହ୍ୟ ଆଧାର 
Cast,ମୁଖ୍ୟ ଅଭିନୟ 
Music,ସଙ୍ଗୀତ 
Teesri Kasam,ତିସରି କସମ 
Awards,ପୁରସ୍କାର ସମୂହ 
References,ଆଧାର 
Further reading,ଆହୁରି ପଠନ 
Recipients,ପୁରସ୍କୃତ ବ୍ୟକ୍ତି ଙ୍କ ସାରଣୀ 
Awards and nominations,ପୁରସ୍କାର ସମୂହ ଓ ମନୋନୀତ 
Audiobooks,ଶ୍ରବଣ ପୁସ୍ତକ ସମୂହ 
Biographies,ଆତ୍ମଜୀବନୀ ସମୂହ 
Notes,ନୋଟ ସମୂହ 
Early life,ସଂକ୍ଷିପ୍ତ ଜୀବନୀ 
Direction,ନିର୍ଦେଶକ ଭାବେ ଗୁଲଜାର 
Poetry,କବିତାବଳୀ 
Ravi Shastri in 2015,2015 ରେ ରବି ଶାସ୍ତ୍ରୀ 
Filmography,ଫିଲ୍ମୋଗ୍ରାଫୀ 
As director,ନିର୍ଦେଶକ ଭାବେ 
As actor,ଅଭିନେତା ଭାବେ 
Philanthropy,ଦାତବ୍ୟତା 
Early and personal life,ବ୍ୟକ୍ତିଗତ ଜୀବନ 
Career,ଫିଲ୍ମ ଅଭିନୟ ଜୀବନ 
Singing career,ଗାୟକ ହିସାବ ରେ ନାନା 
Movie direction,ଫିଲ୍ମ ନିର୍ଦେଶନା 
Awards and recognition,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
Architecture,ବାସ୍ତୁକଳା
Festivals,ପର୍ବ-ପର୍ବାଣୀ
See also,ଅଧିକ ଦେଖନ୍ତୁ
List of temples in Bhubaneswar,ଭୁବନେଶ୍ୱରରେ ଥିବା ମନ୍ଦିର ତାଲିକା
Gallery,ଗ୍ୟାଲେରୀ
Yameshwar Temple,ଯମେଶ୍ୱର ମନ୍ଦିର
Early career,କ୍ରିକେଟ ଜୀବନୀ 
International cricket,ଅନ୍ତର୍ଜାତିକ କ୍ରିକେଟ ରେ ମୋରେ
1990 and after,କ୍ରିକେଟ ପାଇଁ ଅନ୍ୟ ଅବଦାନ 
The story,ସୁଦାମା ଙ୍କ କାହାଣୀ 
Adaptations,ଅଧିଗୃହିତ ବିଷୟବସ୍ତୁ 
Biography,ସଂକ୍ଷିପ୍ତ ଜୀବନୀ 
Captaincy and overseas wins,ଅଧିନାୟକତ୍ଵ ଓ ବିଦେଶ ରେ ବିଜୟ
Post retirement,ଅବସର ପରେ ଅବଦାନ 
Career statistics,ପରିସଙ୍ଖ୍ୟାନ
Test centuries,ଟେଷ୍ଟ ଶତକ 
,ପୁରସ୍କାର ସମୂହ ଆଉ ସମ୍ମାନ 
Characteristics,ବର୍ଣନା
Yama holding a danda,ଦଣ୍ଡ ଧରିଛନ୍ତି ଯମ
Point targets,ପଏଣ୍ଟ ଟାର୍ଗେଟ
